Quote_ID,Agency,Issued,Quote_Platform,Eff_Date,Liab_Only,ST,Zipcode,Terr,Min_Veh_Yr,Max_Veh_Yr,MultiProduct_Discount,Life_Discount,MultiCar,Acc_Viol_Score,Ins_Score,BI_Limit,Driver1_Age,Driver2_Age
2455205238,Eta,N,PLRATING,201903,N,IN,47006,92,2013,2013,None,N,N,0,700-724,50/100,30-34,30-34
2455205455,Eta,N,PLRATING,201903,N,IN,47331,43,2000,2000,None,N,N,0,575-599,50/100,65-69,65-69
2455205475,Gamma,N,PLRATING,201903,N,IN,47362,55,2000,2018,Auto Home,N,Y,0,750-774,250/500,60-64,60-64
2455205845,Iota,N,PLRATING,201903,Y,IN,46250,95,2002,2002,None,N,N,0,No History,250/500,20-24,20-24
2455208121,Eta,N,PLRATING,201903,Y,IN,47017,92,1998,1998,None,N,N,0,775-799,50/100,50-54,50-54
2455209454,Iota,N,eQuote,201903,N,IN,46032,30,2013,2016,Auto Home,N,Y,0,850-874,500 CSL,60-64,65-69
2455300278,Gamma,Y,PLRATING,201903,N,IN,46220,1,2011,2016,Auto Home,N,Y,0,900-924,250/500,45-49,45-49
2455301832,Iota,N,eQuote,201903,N,IN,46142,62,1998,2006,Auto Home,N,Y,0,750-774,100/300,<20,45-49
2455302057,Gamma,Y,PLRATING,201903,N,IN,46220,1,2010,2015,Auto Home,N,Y,0,900-924,250/500,45-49,45-49
2455302086,Iota,N,eQuote,201903,N,IN,46217,95,2016,2016,Homeowner,N,N,2,675-699,500 CSL,50-54,50-54
2455302515,Eta,N,PLRATING,201903,N,IN,47031,92,2012,2012,None,N,N,0,550-574,50/100,55-59,55-59
2455302543,Gamma,N,PLRATING,201903,Y,IN,47387,55,2001,2001,None,N,N,0,No History,250/500,70-74,70-74
2455400406,Gamma,N,PLRATING,201903,N,IN,46156,93,2003,2010,Auto Home,N,Y,0,775-799,250/500,20-24,45-49
2455401356,Gamma,N,PLRATING,201903,N,IN,46173,93,2009,2009,Auto Home,N,N,0,625-649,250/500,20-24,20-24
2455405686,Eta,N,PLRATING,201903,Y,IN,47001,38,2006,2006,None,N,N,0,No Score,50/100,<20,<20
2455407688,Gamma,N,PLRATING,201903,N,IN,47362,55,2014,2014,Auto Home,N,N,0,725-749,250/500,25-29,25-29
2455502110,Gamma,N,PLRATING,201903,N,IN,46173,93,2013,2013,None,N,N,0,850-874,250/500,20-24,20-24
2455504502,Gamma,N,PLRATING,201903,N,IN,47362,55,1996,2013,Auto Home,N,Y,0,650-674,250/500,50-54,55-59
2455505114,Gamma,N,PLRATING,201903,Y,IN,46173,93,1998,1998,None,N,N,0,575-599,250/500,20-24,20-24
2455507138,Gamma,N,PLRATING,201903,Y,IN,47362,55,2004,2004,None,N,N,0,1-449,250/500,45-49,45-49
2455602129,Iota,N,PLRATING,201903,N,IN,46040,30,2000,2011,Auto Home,N,Y,0,875-899,500/500,<20,45-49
2455604505,Eta,N,PLRATING,201903,Y,IN,47037,92,1999,1999,None,N,N,0,675-699,50/100,60-64,60-64
2460107135,Epsilon,N,PLRATING,201903,N,IN,46239,95,2014,2014,Auto Home,N,N,0,675-699,100/300,25-29,25-29
3054606427,Gamma,N,eQuote,201903,N,IN,47531,98,1997,2010,None,N,Y,0,725-749,100/300,<20,55-59
3054807779,Zeta,N,PLRATING,201903,N,IN,47172,21,2006,2008,Auto Home,N,Y,0,575-599,100/300,50-54,55-59
3054808171,Theta,N,PLRATING,201903,N,IN,47720,5,2001,2001,None,N,N,0,575-599,50/100,25-29,25-29
3054902174,Alpha,N,eQuote,201903,N,IN,46204,1,2003,2003,None,N,N,0,650-674,300 CSL,20-24,20-24
3054902573,Theta,N,PLRATING,201903,N,IN,47711,5,2001,2005,Auto Home,N,Y,0,575-599,100/300,75-79,75-79
3054906296,Theta,N,PLRATING,201903,N,IN,47725,5,2000,2005,None,N,Y,0,725-749,50/100,35-39,35-39
3055000864,Alpha,N,eQuote,201903,N,IN,47546,96,2015,2015,None,N,N,0,850-874,100/300,85-90,85-90
3055000927,Iota,N,eQuote,201903,N,IN,47601,107,2005,2011,Auto Home,N,Y,0,600-624,50/100,50-54,50-54
3055002818,Gamma,N,eQuote,201903,N,IN,47408,14,2008,2008,None,N,N,0,650-674,50/100,25-29,25-29
3055004280,Gamma,N,eQuote,201903,N,IN,47586,86,2008,2008,Auto Home,N,N,0,850-874,100/300,75-79,75-79
3055006594,Theta,N,PLRATING,201903,N,IN,47630,107,2005,2007,Auto Home,N,Y,0,875-899,500/500,70-74,70-74
3055007372,Gamma,Y,eQuote,201903,N,IN,47586,86,2015,2015,Auto Home,N,N,0,725-749,100/300,45-49,45-49
3055008047,Zeta,Y,eQuote,201903,N,IN,47172,44,2014,2014,Auto Home,N,Y,0,775-799,100/300,50-54,50-54
3055100950,Theta,N,PLRATING,201903,N,IN,47712,5,2011,2011,Auto Home,N,N,0,750-774,100/300,20-24,20-24
3055102637,Theta,N,PLRATING,201903,N,IN,47711,5,1999,1999,Auto Home,N,N,0,575-599,50/100,60-64,60-64
3055102873,Gamma,N,eQuote,201903,N,IN,47586,86,2005,2005,Auto Home,N,N,0,550-574,100/300,20-24,25-29
3055106184,Theta,N,PLRATING,201903,N,IN,47714,5,2008,2008,None,N,N,0,625-649,100/300,25-29,25-29
3055106660,Iota,N,eQuote,201903,N,IN,47637,107,1998,2011,Auto Home,N,Y,0,725-749,50/100,55-59,55-59
3055109137,Zeta,Y,PLRATING,201903,N,IN,47172,21,2016,2016,Auto Home,N,N,0,850-874,100/300,65-69,65-69
3055200265,Iota,N,eQuote,201903,N,IN,47601,107,2001,2009,Auto Home,N,Y,0,1-449,100/300,50-54,50-54
3055200976,Theta,N,PLRATING,201903,N,IN,47720,5,1997,2006,None,N,Y,0,775-799,100/300,80-84,80-84
3055201154,Theta,N,PLRATING,201903,Y,IN,47711,5,2002,2002,None,N,N,0,600-624,100/300,45-49,45-49
3055201798,Theta,N,PLRATING,201903,N,IN,47712,5,2009,2009,None,N,N,0,600-624,100/300,65-69,65-69
3055202999,Theta,N,PLRATING,201903,N,IN,47710,5,2009,2009,None,N,N,0,600-624,100/300,65-69,65-69
3055205251,Theta,N,PLRATING,201903,N,IN,47630,107,2013,2016,Auto Home,N,Y,0,675-699,500/500,65-69,65-69
3055205830,Theta,N,PLRATING,201903,N,IN,47620,88,2012,2012,Auto Home,N,N,0,800-824,100/300,60-64,60-64
3055205857,Theta,N,PLRATING,201903,N,IN,47720,5,2010,2017,Auto Home,N,Y,0,850-874,250/500,35-39,60-64
3055207769,Theta,N,PLRATING,201903,N,IN,47725,5,1996,1996,Auto Home,N,N,0,875-899,100/300,75-79,75-79
3055208225,Theta,N,PLRATING,201903,N,IN,47630,107,2007,2007,None,N,N,0,550-574,50/100,30-34,30-34
3055300277,Theta,N,PLRATING,201903,Y,IN,47712,5,2006,2006,None,N,N,0,525-549,50/100,45-49,45-49
3055300342,Theta,N,PLRATING,201903,Y,IN,47633,88,2003,2003,None,N,N,0,No History,100/300,20-24,20-24
3055301932,Zeta,N,PLRATING,201903,N,IN,47150,6,2001,2005,None,N,Y,0,875-899,250/500,60-64,60-64
3055302130,Alpha,N,eQuote,201903,N,IN,47546,96,2014,2014,Auto Home,N,N,0,475-499,100/300,30-34,30-34
3055306795,Gamma,N,eQuote,201903,N,IN,47586,86,2006,2012,Auto Home,N,Y,0,875-899,100/300,70-74,70-74
3055307104,Zeta,N,PLRATING,201903,N,IN,47172,44,2000,2000,None,N,N,0,700-724,100/300,75-79,75-79
3055309588,Theta,N,PLRATING,201903,N,IN,47711,5,2005,2010,Auto Home,N,Y,2,675-699,50/100,<20,40-44
3055401693,Theta,N,PLRATING,201903,Y,IN,47715,5,2000,2003,Auto Home,N,Y,0,750-774,100/300,45-49,45-49
3055403428,Theta,N,PLRATING,201903,N,IN,47630,107,2004,2012,None,N,Y,0,550-574,100/300,<20,45-49
3055403531,Theta,N,PLRATING,201903,N,IN,47630,107,2003,2011,None,N,Y,0,550-574,100/300,<20,45-49
3055407814,Theta,N,PLRATING,201903,N,IN,47711,5,1999,1999,Auto Home,N,N,0,No History,50/100,45-49,70-74
3055501262,Theta,N,PLRATING,201903,N,IN,47720,5,2007,2011,Auto Home,N,Y,0,675-699,100/300,30-34,30-34
3055503034,Theta,N,PLRATING,201903,N,IN,47630,107,2012,2012,None,N,N,0,675-699,100/300,25-29,25-29
3055504601,Alpha,N,eQuote,201903,N,IN,47167,108,2003,2003,None,N,Y,0,625-649,250/500,55-59,65-69
3055504637,Gamma,N,eQuote,201903,N,IN,47586,86,2000,2001,Auto Home,N,Y,0,800-824,100/300,25-29,30-34
3055506358,Theta,N,PLRATING,201903,N,IN,47711,5,1997,1997,None,N,Y,0,550-574,100/300,25-29,45-49
3055506383,Theta,N,PLRATING,201903,N,IN,47711,5,2010,2012,None,N,Y,0,625-649,100/300,40-44,55-59
3055508684,Theta,N,PLRATING,201903,N,IN,47610,107,2002,2002,None,N,N,0,800-824,100/300,70-74,70-74
3055603768,Theta,N,PLRATING,201903,Y,IN,47712,5,2008,2008,Auto Home,N,N,0,No History,100/300,65-69,65-69
3059807998,Theta,N,PLRATING,201903,N,IN,47630,107,2011,2011,None,N,N,0,650-674,100/300,25-29,25-29
4555106011,Alpha,N,eQuote,201903,N,IN,47150,6,2001,2004,Auto Home,N,Y,0,750-774,250/500,30-34,35-39
4555509480,Alpha,N,eQuote,201903,N,IN,47119,6,2011,2011,None,N,N,0,850-874,100/300,20-24,20-24
5153903655,Beta,N,eQuote,201903,N,IN,46123,30,2004,2009,Auto Home,N,Y,2,700-724,100/300,<20,45-49
5154200233,Epsilon,N,eQuote,201903,N,IN,46157,30,1997,2011,Auto Home,N,Y,0,700-724,250/500,55-59,55-59
5154703196,Epsilon,N,PLRATING,201903,N,IN,46260,95,2009,2009,None,N,N,0,850-874,100/300,65-69,65-69
5154800166,Eta,N,PLRATING,201903,N,IN,46113,54,2010,2010,None,N,N,0,725-749,100/300,35-39,35-39
5154802375,Beta,N,PLRATING,201903,N,IN,47446,68,2003,2015,None,N,Y,0,750-774,100/300,50-54,55-59
5154804488,Eta,N,PLRATING,201903,N,IN,46123,54,2008,2016,None,N,Y,0,600-624,100/300,40-44,40-44
5154808411,Eta,N,PLRATING,201903,N,IN,46234,95,2012,2012,None,N,N,0,700-724,100/300,25-29,25-29
5154808761,Iota,N,PLRATING,201903,N,IN,47918,45,1997,2015,None,N,Y,0,775-799,100/300,55-59,55-59
5154902161,Epsilon,N,PLRATING,201903,N,IN,46902,34,2014,2014,None,N,N,0,475-499,100/300,25-29,25-29
5154904165,Epsilon,N,PLRATING,201903,Y,IN,46902,34,2005,2005,Auto Home,N,N,0,650-674,100/300,30-34,30-34
5154904502,Epsilon,N,PLRATING,201903,N,IN,46902,34,2014,2014,None,N,N,0,650-674,100/300,35-39,35-39
5154904719,Epsilon,N,PLRATING,201903,Y,IN,46068,56,1996,1996,None,N,N,0,575-599,50/100,25-29,25-29
5154905660,Epsilon,N,PLRATING,201903,N,IN,46952,9,2004,2016,None,N,Y,0,525-549,100/300,20-24,40-44
5154905943,Iota,N,PLRATING,201903,Y,IN,46143,62,2003,2003,None,N,N,0,No History,100/300,20-24,20-24
5154906264,Iota,N,PLRATING,201903,N,IN,46226,1,2013,2013,None,N,N,0,700-724,100/300,55-59,55-59
5154906378,Beta,N,eQuote,201903,N,IN,46167,30,2001,2018,Auto Home,N,Y,0,700-724,50/100,55-59,55-59
5154906883,Theta,N,PLRATING,201903,N,IN,46240,95,1996,1996,Auto Home,N,N,0,700-724,100/300,25-29,25-29
5154907718,Iota,N,PLRATING,201903,N,IN,46227,95,2000,2013,Auto Home,N,Y,0,575-599,100/300,30-34,30-34
5154908070,Beta,N,PLRATING,201903,N,IN,46901,34,2000,2006,None,N,Y,0,550-574,50/100,25-29,45-49
5154908170,Alpha,N,eQuote,201903,N,IN,46383,16,2004,2005,Auto Home,N,Y,2,750-774,500/500,<20,45-49
5154909033,Beta,N,PLRATING,201903,N,IN,47012,46,2004,2012,Auto Home,N,Y,0,525-549,50/100,30-34,35-39
5154909786,Iota,N,PLRATING,201903,N,IN,47384,52,2006,2010,None,N,Y,0,875-899,100/300,50-54,55-59
5155001988,Epsilon,N,PLRATING,201903,N,IN,46902,34,2016,2018,None,N,Y,0,825-849,250/500,65-69,65-69
5155002123,Beta,N,PLRATING,201903,N,IN,46902,34,1998,2007,Auto Home,N,Y,0,625-649,100/300,35-39,35-39
5155004453,Eta,N,PLRATING,201903,N,IN,46112,13,1998,1998,None,N,N,0,825-849,100/300,70-74,70-74
5155005115,Theta,N,PLRATING,201903,N,IN,46280,30,2004,2004,Auto Home,N,N,0,825-849,250/500,55-59,55-59
5155007420,Theta,N,PLRATING,201903,N,IN,46037,30,2011,2014,Auto Home,N,Y,0,850-874,250/500,45-49,45-49
5155009186,Iota,N,PLRATING,201903,N,IN,46239,95,2014,2014,None,N,N,0,575-599,100/300,40-44,40-44
5155009212,Alpha,N,eQuote,201903,N,IN,46544,99,2004,2004,None,N,N,0,725-749,100/300,25-29,30-34
5155009607,Theta,N,PLRATING,201903,N,IN,46077,13,2007,2012,Auto Home,N,Y,0,875-899,250/500,25-29,25-29
5155009660,Iota,N,PLRATING,201903,N,IN,46140,52,2013,2013,None,N,N,0,700-724,100/300,40-44,55-59
5155009820,Iota,N,PLRATING,201903,N,IN,47330,83,2014,2014,None,N,N,0,675-699,100/300,25-29,25-29
5155009885,Epsilon,N,PLRATING,201903,N,IN,46902,34,2002,2008,Auto Home,N,Y,0,875-899,100/300,60-64,65-69
5155100049,Theta,N,PLRATING,201903,N,IN,46204,1,2013,2013,Auto Home,N,N,0,625-649,250/500,25-29,25-29
5155100136,Epsilon,N,PLRATING,201903,N,IN,46774,3,2002,2002,None,N,N,0,500-524,50/100,45-49,50-54
5155100161,Theta,N,PLRATING,201903,N,IN,46237,95,2010,2010,Auto Home,N,N,0,825-849,250/500,25-29,25-29
5155101123,Iota,N,PLRATING,201903,N,IN,46140,52,2008,2008,None,N,N,0,625-649,100/300,65-69,65-69
5155103111,Epsilon,N,PLRATING,201903,N,IN,46216,95,1996,2006,None,N,Y,0,825-849,250/500,65-69,70-74
5155106349,Theta,N,PLRATING,201903,N,IN,47401,14,2009,2009,Auto Home,N,Y,0,850-874,250/500,30-34,35-39
